taskId,appName,iconId,messageText,correctAction,baseScore,backgroundStyleId,spawnWeight,tag
task_self_012,自分,icon_self,鏡の前で前髪チェック,SwipeRight,300,normal,100,hair
task_life_009,生活,icon_life,玄関の鍵を確認する,Tap,300,normal,100,life
task_life_010,生活,icon_life,窓を閉める,Tap,300,normal,100,life
task_life_011,生活,icon_life,使ったコップを下げる,Tap,300,normal,100,life
task_life_012,生活,icon_life,とりあえず床に置く,SwipeRight,300,normal,100,lazy
task_life_013,生活,icon_life,トイレを我慢する,SwipeRight,300,normal,100,toilet
task_message_019,メッセージ,icon_message,恋人 今日ちょっと遅くなる,Tap,300,normal,100,lover
task_message_020,メッセージ,icon_message,恋人 ちゃんと寝てね,Tap,300,normal,100,lover
task_message_021,メッセージ,icon_message,お母さん 写真送ったよ,Tap,300,normal,100,mother
task_message_022,メッセージ,icon_message,友達 今日いけそう？,Tap,300,normal,100,friend
task_message_023,メッセージ,icon_message,投資で自由になりませんか？,SwipeRight,300,normal,100,scam
task_message_024,メッセージ,icon_message,美人投資家 ねぇ、週末お茶しない？,SwipeRight,300,normal,100,fake_beauty
task_message_025,メッセージ,icon_message,あなたの健康【無料診断】できます,SwipeRight,300,normal,100,diagnosis
task_message_026,メッセージ,icon_message,突然ごめん！久しぶりだよね！,SwipeRight,300,normal,100,old_friend
task_message_027,メッセージ,icon_message,お母さん 確認して欲しいことがあるんだけど,Tap,300,normal,100,mother
task_message_028,メッセージ,icon_message,お母さん 調子はどう？,Tap,300,normal,100,mother
task_sns_005,SNS,icon_sns,友達から返信が届いています,Tap,300,normal,100,friend
task_sns_006,SNS,icon_sns,人気の投稿を見逃しています,SwipeRight,300,normal,100,sns
task_video_005,動画,icon_video,たった10秒で分かる裏ワザ,SwipeRight,300,normal,100,video
task_furima_002,フリマ,icon_furima,商品に質問が届いています,Tap,300,normal,100,furima
task_furima_003,フリマ,icon_furima,限定価格 クーポン配布中！,SwipeRight,300,normal,100,sale
task_game_001,ゲーム,icon_game,ログインボーナスがあります,SwipeRight,300,normal,100,game
task_game_002,ゲーム,icon_game,今なら10連無料,SwipeRight,300,normal,100,game
task_game_003,ゲーム,icon_game,もう一戦だけやりませんか,SwipeRight,300,normal,100,game
task_game_004,ゲーム,icon_game,寝る前にデイリー消化,SwipeRight,300,normal,100,game
task_work_001,仕事,icon_work,今日中に確認してください,Tap,300,normal,100,work
task_work_002,仕事,icon_work,締切が近づいています,Tap,300,normal,100,work
task_work_003,仕事,icon_work,会議が始まります,Tap,300,normal,100,work
task_work_004,仕事,icon_work,返信待ちの連絡があります,Tap,300,normal,100,work
task_news_001,ニュース,icon_news,交通機関の遅延情報があります,Tap,300,normal,100,news
task_news_002,ニュース,icon_news,災害注意報が出ています,Tap,300,normal,100,news
task_news_003,ニュース,icon_news,芸能人の意外な一面とは,SwipeRight,300,normal,100,clickbait
task_news_004,ニュース,icon_news,知らないと損する話,SwipeRight,300,normal,100,clickbait
task_food_001,フード,icon_food,こっそり夜食を食べる,SwipeRight,300,normal,100,diet
task_food_002,フード,icon_food,のどが乾いてジュースを飲む,SwipeRight,300,normal,100,diet
task_food_003,フード,icon_food,1日3食ハンバーガー,SwipeRight,300,normal,100,diet
task_food_004,フード,icon_food,青汁を飲む,Tap,300,normal,100,diet
task_food_005,フード,icon_food,野菜をたべる,Tap,300,normal,100,diet
task_food_006,フード,icon_food,毎日コーラを飲む,SwipeRight,300,normal,100,diet
task_food_007,フード,icon_food,ゆっくり噛んで食べる,Tap,300,normal,100,diet
task_food_008,フード,icon_food,食べすぎる前にやめる,Tap,300,normal,100,diet
task_food_009,フード,icon_food,深夜にラーメンを食べる,SwipeRight,300,normal,100,diet
task_food_010,フード,icon_food,寝る前にアイスを食べる,SwipeRight,300,normal,100,diet
task_food_011,フード,icon_food,カロリーは見なかったことにする,SwipeRight,300,normal,100,diet
task_food_012,フード,icon_food,サラダ味だから実質野菜,SwipeRight,300,normal,100,diet
task_message_029,メッセージ,icon_message,恋人 ほんとに大事な話,Tap,1000,gold,30,lover
task_self_013,自分,icon_self,昨日の自分に勝つ,Tap,1000,gold,30,lazy
task_work_005,仕事,icon_work,締め切りは今日です,Tap,1000,gold,30,work
task_life_014,生活,icon_life,コンロの火を確認する,Tap,1000,gold,30,life
task_life_015,生活,icon_life,運動をする,Tap,300,normal,100,health
task_life_016,生活,icon_life,目を休める,Tap,300,normal,100,health
task_life_017,生活,icon_life,ストレッチをする,Tap,300,normal,100,health
